token,label
C',0
era,0
una,0
volta,0
…,1
–,0
Un,0
re,0
!,0
–,0
diranno,0
subito,0
i,0
miei,0
piccoli,0
lettori,0
.,1
–,0
No,0
",",0
ragazzi,0
",",0
avete,0
sbagliato,0
.,1
C',0
era,0
una,0
volta,0
un,0
pezzo,0
di,0
legno,0
.,1
Non,0
era,0
un,0
legno,0
di,0
lusso,0
",",0
ma,0
un,0
semplice,0
pezzo,0
da,0
catasta,0
",",0
di,0
quelli,0
che,0
d',0
inverno,0
si,0
mettono,0
nelle,0
stufe,0
e,0
nei,0
caminetti,0
per,0
accendere,0
il,0
fuoco,0
e,0
per,0
riscaldare,0
le,0
stanze,0
.,1
Non,0
so,0
come,0
andasse,0
",",0
ma,0
il,0
fatto,0
gli,0
è,0
che,0
un,0
bel,0
giorno,0
questo,0
pezzo,0
di,0
legno,0
capitò,0
nella,0
bottega,0
di,0
un,0
vecchio,0
falegname,0
",",0
il,0
quale,0
aveva,0
nome,0
mastr'Antonio,0
",",0
se,0
non,0
che,0
tutti,0
lo,0
chiamavano,0
maestro,0
Ciliegia,0
",",0
per,0
via,0
della,0
punta,0
del,0
suo,0
naso,0
",",0
che,0
era,0
sempre,0
lustra,0
e,0
paonazza,0
",",0
come,0
una,0
Ciliegia,0
matura,0
.,1
Appena,0
maestro,0
Ciliegia,0
ebbe,0
visto,0
quel,0
pezzo,0
di,0
legno,0
",",0
si,0
rallegrò,0
tutto,0
;,0
e,0
dandosi,0
una,0
fregatina,0
di,0
mani,0
per,0
la,0
contentezza,0
",",0
borbottò,0
a,0
mezza,0
voce,0
:,0
–,0
Questo,0
legno,0
è,0
capitato,0
a,0
tempo,0
:,0
voglio,0
servirmene,0
per,0
fare,0
una,0
gamba,0
di,0
tavolino,0
.,1
Detto,0
fatto,0
",",0
prese,0
subito,0
l',0
ascia,0
arrotata,0
per,0
cominciare,0
a,0
levargli,0
la,0
scorza,0
e,0
a,0
digrossarlo,0
",",0
ma,0
quando,0
fu,0
lì,0
per,0
lasciare,0
andare,0
la,0
prima,0
asciata,0
",",0
rimase,0
col,0
braccio,0
sospeso,0
in,0
aria,0
",",0
perchè,0
sentì,0
una,0
vocina,0
sottile,0
sottile,0
",",0
che,0
disse,0
raccomandandosi,0
:,0
–,0
Non,0
mi,0
picchiar,0
tanto,0
forte,0
!,1
Figuratevi,0
come,0
rimase,0
quel,0
buon,0
vecchio,0
di,0
maestro,0
Ciliegia,0
!,1
Girò,0
gli,0
occhi,0
smarriti,0
intorno,0
alla,0
stanza,0
per,0
vedere,0
di,0
dove,0
mai,0
poteva,0
essere,0
uscita,0
quella,0
vocina,0
",",0
e,0
non,0
vide,0
nessuno,0
!,1
Guardò,0
sotto,0
il,0
banco,0
",",0
e,0
nessuno,0
;,0
guardò,0
dentro,0
un,0
armadio,0
che,0
stava,0
sempre,0
chiuso,0
",",0
e,0
nessuno,0
;,0
guardò,0
nel,0
corbello,0
dei,0
trucioli,0
e,0
della,0
segatura,0
",",0
e,0
nessuno,0
;,0
aprì,0
l',0
uscio,0
di,0
bottega,0
per,0
dare,0
un'occhiata,0
anche,0
sulla,0
strada,0
",",0
e,0
nessuno,0
.,1
O,0
dunque,0
?,0
…,1
–,0
Ho,0
capito,0
;,0
–,0
disse,0
allora,0
ridendo,0
e,0
grattandosi,0
la,0
parrucca,0
–,0
si,0
vede,0
che,0
quella,0
vocina,0
me,0
la,0
sono,0
figurata,0
io,0
.,1
Rimettiamoci,0
a,0
lavorare,0
.,1
E,0
ripresa,0
l',0
ascia,0
in,0
mano,0
",",0
tirò,0
giù,0
un,0
solennissimo,0
colpo,0
sul,0
pezzo,0
di,0
legno,0
.,1
–,0
Ohi,0
!,0
tu,0
m'hai,0
fatto,0
male,0
!,0
–,0
gridò,0
rammaricandosi,0
la,0
solita,0
vocina,0
.,1
Questa,0
volta,0
maestro,0
Ciliegia,0
restò,0
di,0
stucco,0
",",0
cogli,0
occhi,0
fuori,0
del,0
capo,0
per,0
la,0
paura,0
",",0
colla,0
bocca,0
spalancata,0
e,0
colla,0
lingua,0
giù,0
ciondoloni,0
fino,0
al,0
mento,0
",",0
come,0
un,0
mascherone,0
da,0
fontana,0
.,1
Appena,0
riebbe,0
l',0
uso,0
della,0
parola,0
",",0
cominciò,0
a,0
dire,0
tremando,0
e,0
balbettando,0
dallo,0
spavento,0
:,0
–,0
Ma,0
di,0
dove,0
sarà,0
uscita,0
questa,0
vocina,0
che,0
ha,0
detto,0
ohi,0
?,0
…,1
Eppure,0
qui,0
non,0
c',0
è,0
anima,0
viva,0
.,1
Che,0
sia,0
per,0
caso,0
questo,0
pezzo,0
di,0
legno,0
che,0
abbia,0
imparato,0
a,0
piangere,0
e,0
a,0
lamentarsi,0
come,0
un,0
bambino,0
?,1
Io,0
non,0
lo,0
posso,0
credere,0
.,1
Questo,0
legno,0
eccolo,0
qui,0
;,0
è,0
un,0
pezzo,0
di,0
legno,0
da,0
caminetto,0
",",0
come,0
tutti,0
gli,0
altri,0
",",0
e,0
a,0
buttarlo,0
sul,0
fuoco,0
",",0
c',0
è,0
da,0
far,0
bollire,0
una,0
pentola,0
di,0
fagioli,0
…,1
O,0
dunque,0
?,1
Che,0
ci,0
sia,0
nascosto,0
dentro,0
qualcuno,0
?,1
Se,0
c',0
è,0
nascosto,0
qualcuno,0
",",0
tanto,0
peggio,0
per,0
lui,0
.,1
Ora,0
l',0
accomodo,0
io,0
!,1
E,0
così,0
dicendo,0
",",0
agguantò,0
con,0
tutte,0
e,0
due,0
le,0
mani,0
quel,0
povero,0
pezzo,0
di,0
legno,0
",",0
e,0
si,0
pose,0
a,0
sbatacchiarlo,0
senza,0
carità,0
contro,0
le,0
pareti,0
della,0
stanza,0
.,1
Poi,0
si,0
messe,0
in,0
ascolto,0
",",0
per,0
sentire,0
se,0
c',0
era,0
qualche,0
vocina,0
che,0
si,0
lamentasse,0
.,1
Aspettò,0
due,0
minuti,0
",",0
e,0
nulla,0
;,0
cinque,0
minuti,0
",",0
e,0
nulla,0
;,0
dieci,0
minuti,0
",",0
e,0
nulla,0
!,1
–,0
Ho,0
capito,0
–,0
disse,0
allora,0
sforzandosi,0
di,0
ridere,0
e,0
arruffandosi,0
la,0
parrucca,0
–,0
si,0
vede,0
che,0
quella,0
vocina,0
che,0
ha,0
detto,0
ohi,0
",",0
me,0
la,0
sono,0
figurata,0
io,0
!,1
Rimettiamoci,0
a,0
lavorare,0
.,1
E,0
perchè,0
gli,0
era,0
entrata,0
addosso,0
una,0
gran,0
paura,0
",",0
si,0
provò,0
a,0
canterellare,0
per,0
farsi,0
un,0
po',0
di,0
coraggio,0
.,1
Intanto,0
",",0
posata,0
da,0
una,0
parte,0
l',0
ascia,0
",",0
prese,0
in,0
mano,0
la,0
pialla,0
",",0
per,0
piallare,0
e,0
tirare,0
a,0
pulimento,0
il,0
pezzo,0
di,0
legno,0
;,0
ma,0
nel,0
mentre,0
che,0
lo,0
piallava,0
in,0
su,0
e,0
in,0
giù,0
",",0
sentì,0
la,0
solita,0
vocina,0
che,0
gli,0
disse,0
ridendo,0
:,0
–,0
Smetti,0
!,0
tu,0
mi,0
fai,0
il,0
pizzicorino,0
sul,0
corpo,0
!,1
Questa,0
volta,0
il,0
povero,0
maestro,0
Ciliegia,0
cadde,0
giù,0
come,0
fulminato,0
.,1
Quando,0
riaprì,0
gli,0
occhi,0
",",0
si,0
trovò,0
seduto,0
per,0
terra,0
.,1
Il,0
suo,0
viso,0
pareva,0
trasfigurito,0
",",0
e,0
perfino,0
la,0
punta,0
del,0
naso,0
",",0
di,0
paonazza,0
come,0
era,0
quasi,0
sempre,0
",",0
gli,0
era,0
diventata,0
turchina,0
dalla,0
gran,0
paura,0
.,1
In,0
quel,0
punto,0
fu,0
bussato,0
alla,0
porta,0
.,1
–,0
Passate,0
pure,0
–,0
disse,0
il,0
falegname,0
",",0
senza,0
aver,0
la,0
forza,0
di,0
rizzarsi,0
in,0
piedi,0
.,1
Allora,0
entrò,0
in,0
bottega,0
un,0
vecchietto,0
tutto,0
arzillo,0
",",0
il,0
quale,0
aveva,0
nome,0
Geppetto,0
;,0
ma,0
i,0
ragazzi,0
del,0
vicinato,0
",",0
quando,0
lo,0
volevano,0
far,0
montare,0
su,0
tutte,0
le,0
furie,0
",",0
lo,0
chiamavano,0
col,0
soprannome,0
di,0
Polendina,0
",",0
a,0
motivo,0
della,0
sua,0
parrucca,0
gialla,0
che,0
somigliava,0
moltissimo,0
alla,0
polendina,0
di,0
granturco,0
.,1
Geppetto,0
era,0
bizzosissimo,0
.,1
Guai,0
a,0
chiamarlo,0
Polendina,0
!,1
Diventava,0
subito,0
una,0
bestia,0
",",0
e,0
non,0
c',0
era,0
più,0
verso,0
di,0
tenerlo,0
.,1
–,0
Buon,0
giorno,0
",",0
mastr'Antonio,0
–,0
disse,0
Geppetto,0
.,1
–,0
Che,0
cosa,0
fate,0
costì,0
per,0
terra,0
?,1
–,0
Insegno,0
l',0
abbaco,0
alle,0
formicole,0
.,1
–,0
Buon,0
pro,0
vi,0
faccia,0
.,1
–,0
Chi,0
vi,0
ha,0
portato,0
da,0
me,0
",",0
compar,0
Geppetto,0
?,1
–,0
Le,0
gambe,0
.,1
Sappiate,0
",",0
mastr'Antonio,0
",",0
che,0
son,0
venuto,0
da,0
voi,0
",",0
per,0
chiedervi,0
un,0
favore,0
.,1
–,0
Eccomi,0
qui,0
",",0
pronto,0
a,0
servirvi,0
",",0
–,0
replicò,0
il,0
falegname,0
",",0
rizzandosi,0
su,0
i,0
ginocchi,0
.,1
–,0
Stamani,0
m'è,0
piovuta,0
nel,0
cervello,0
un'idea,0
.,1
–,0
Sentiamola,0
.,1
–,0
Ho,0
pensato,0
di,0
fabbricarmi,0
da,0
me,0
un,0
bel,0
burattino,0
di,0
legno,0
;,0
ma,0
un,0
burattino,0
maraviglioso,0
",",0
che,0
sappia,0
ballare,0
",",0
tirare,0
di,0
scherma,0
e,0
fare,0
i,0
salti,0
mortali,0
.,1
Con,0
questo,0
burattino,0
voglio,0
girare,0
il,0
mondo,0
",",0
per,0
buscarmi,0
un,0
tozzo,0
di,0
pane,0
e,0
un,0
bicchier,0
di,0
vino,0
:,0
che,0
ve,0
ne,0
pare,0
?,1
–,0
Bravo,0
Polendina,0
!,0
–,0
gridò,0
la,0
solita,0
vocina,0
",",0
che,0
non,0
si,0
capiva,0
di,0
dove,0
uscisse,0
.,1
A,0
sentirsi,0
chiamar,0
Polendina,0
",",0
compar,0
Geppetto,0
diventò,0
rosso,0
come,0
un,0
peperone,0
dalla,0
bizza,0
",",0
e,0
voltandosi,0
verso,0
il,0
falegname,0
",",0
gli,0
disse,0
imbestialito,0
:,0
–,0
Perchè,0
mi,0
offendete,0
?,1
–,0
Chi,0
vi,0
offende,0
?,1
–,0
Mi,0
avete,0
detto,0
Polendina,0
!,0
…,1
–,0
Non,0
sono,0
stato,0
io,0
.,1
–,0
Sta,0
un,0
po'a,0
vedere,0
che,0
sarò,0
stato,0
io,0
!,1
Io,0
dico,0
che,0
siete,0
stato,0
voi,0
.,1
–,0
No,0
!,1
–,0
Sì,0
!,1
–,0
No,0
.,1
–,0
Sì,0
.,1
E,0
riscaldandosi,0
sempre,0
più,0
",",0
vennero,0
dalle,0
parole,0
ai,0
fatti,0
",",0
e,0
acciuffatisi,0
fra,0
di,0
loro,0
",",0
si,0
graffiarono,0
",",0
si,0
morsero,0
e,0
si,0
sbertucciarono,0
.,1
Finito,0
il,0
combattimento,0
",",0
mastr'Antonio,0
si,0
trovò,0
fra,0
le,0
mani,0
la,0
parrucca,0
gialla,0
di,0
Geppetto,0
",",0
e,0
Geppetto,0
si,0
accorse,0
di,0
avere,0
in,0
bocca,0
la,0
parrucca,0
brizzolata,0
del,0
falegname,0
.,1
–,0
Rendimi,0
la,0
mia,0
parrucca,0
!,0
–,0
gridò,0
mastr'Antonio,0
.,1
–,0
E,0
tu,0
rendimi,0
la,0
mia,0
",",0
e,0
rifacciamo,0
la,0
pace,0
.,1
I,0
due,0
vecchietti,0
",",0
dopo,0
aver,0
ripreso,0
ognuno,0
di,0
loro,0
la,0
propria,0
parrucca,0
",",0
si,0
strinsero,0
la,0
mano,0
e,0
giurarono,0
di,0
rimanere,0
buoni,0
amici,0
per,0
tutta,0
la,0
vita,0
.,1
–,0
Dunque,0
",",0
compar,0
Geppetto,0
",",0
–,0
disse,0
il,0
falegname,0
in,0
segno,0
di,0
pace,0
fatta,0
–,0
qual'è,0
il,0
piacere,0
che,0
volete,0
da,0
me,0
?,1
–,0
Vorrei,0
un,0
po',0
di,0
legno,0
per,0
fabbricare,0
il,0
mio,0
burattino,0
;,0
me,0
lo,0
date,0
?,1
Mastr'Antonio,0
",",0
tutto,0
contento,0
",",0
andò,0
subito,0
a,0
prendere,0
sul,0
banco,0
quel,0
pezzo,0
di,0
legno,0
che,0
era,0
stato,0
cagione,0
a,0
lui,0
di,0
tante,0
paure,0
.,1
Ma,0
quando,0
fu,0
lì,0
per,0
consegnarlo,0
all'amico,0
",",0
il,0
pezzo,0
di,0
legno,0
dette,0
uno,0
scossone,0
e,0
sgusciandogli,0
violentemente,0
dalle,0
mani,0
",",0
andò,0
a,0
battere,0
con,0
forza,0
negli,0
stinchi,0
impresciuttiti,0
del,0
povero,0
Geppetto,0
.,1
–,0
Ah,0
!,0
gli,0
è,0
con,0
questo,0
bel,0
garbo,0
",",0
mastr'Antonio,0
",",0
che,0
voi,0
regalate,0
la,0
vostra,0
roba,0
?,1
M'avete,0
quasi,0
azzoppito,0
!,0
…,1
–,0
Vi,0
giuro,0
che,0
non,0
sono,0
stato,0
io,0
!,1
–,0
Allora,0
sarò,0
stato,0
io,0
!,0
…,1
–,0
La,0
colpa,0
è,0
tutta,0
di,0
questo,0
legno,0
…,1
–,0
Lo,0
so,0
che,0
è,0
del,0
legno,0
:,0
ma,0
siete,0
voi,0
che,0
me,0
l',0
avete,0
tirato,0
nelle,0
gambe,0
!,1
–,0
Io,0
non,0
ve,0
l',0
ho,0
tirato,0
!,1
–,0
Bugiardo,0
!,1
–,0
Geppetto,0
",",0
non,0
mi,0
offendete,0
;,0
se,0
no,0
vi,0
chiamo,0
Polendina,0
!,0
…,1
–,0
Asino,0
!,1
–,0
Polendina,0
!,1
–,0
Somaro,0
!,1
–,0
Polendina,0
!,1
–,0
Brutto,0
scimmiotto,0
!,1
–,0
Polendina,0
!,1
A,0
sentirsi,0
chiamar,0
Polendina,0
per,0
la,0
terza,0
volta,0
",",0
Geppetto,0
perse,0
il,0
lume,0
degli,0
occhi,0
",",0
e,0
si,0
avventò,0
sul,0
falegname,0
;,0
e,0
lì,0
se,0
ne,0
dettero,0
un,0
sacco,0
e,0
una,0
sporta,0
.,1
A,0
battaglia,0
finita,0
",",0
mastr'Antonio,0
si,0
trovò,0
due,0
graffi,0
di,0
più,0
sul,0
naso,0
",",0
e,0
quell'altro,0
due,0
bottoni,0
di,0
meno,0
al,0
giubbetto,0
.,1
Pareggiati,0
in,0
questo,0
modo,0
i,0
loro,0
conti,0
",",0
si,0
strinsero,0
la,0
mano,0
e,0
giurarono,0
di,0
rimanere,0
buoni,0
amici,0
per,0
tutta,0
la,0
vita,0
.,1
Intanto,0
Geppetto,0
prese,0
con,0
sè,0
il,0
suo,0
bravo,0
pezzo,0
di,0
legno,0
",",0
e,0
ringraziato,0
mastr'Antonio,0
",",0
se,0
ne,0
tornò,0
zoppicando,0
a,0
casa,0
.,1
