item,true label,prediction,prediction-ds,correct,correct-ds
http://www.wikidata.org/entity/Q15786,cultural representative,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q268530,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q216153,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q593,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q192185,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q265890,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q305718,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q337267,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q15,cultural representative,cultural agnostic,cultural agnostic,False,False
http://www.wikidata.org/entity/Q388170,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q11453,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q11436,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q583479,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q91717,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q1453,cultural representative,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q9570,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q46392,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q487265,cultural representative,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q25314,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q1107,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q27585,cultural exclusive,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q192150,cultural representative,cultural agnostic,cultural agnostic,False,False
http://www.wikidata.org/entity/Q618238,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q207241,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q17045537,cultural exclusive,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q42973,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q3151019,cultural agnostic,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q45418,cultural agnostic,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q1792450,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q11629,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q7066,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q552300,cultural exclusive,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q31444638,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q890297,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q6658,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q807725,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q353936,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q66705,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q811389,cultural representative,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q812609,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q815611,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q11442,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q5173,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q489,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q49759,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q3641631,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q157906,cultural exclusive,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q549322,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q1132695,cultural representative,cultural agnostic,cultural agnostic,False,False
http://www.wikidata.org/entity/Q65997,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q5119,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q584540,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q180449,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q410,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q18240,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q568286,cultural exclusive,cultural agnostic,cultural agnostic,False,False
http://www.wikidata.org/entity/Q154996,cultural representative,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q251672,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q45982,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q1604035,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q222344,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q118865,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q265418,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q11955,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q280015,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q245068,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q27773,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q233591,cultural agnostic,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q379282,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q36834,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q158852,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q376596,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q134426,cultural agnostic,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q506002,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q172349,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q1142035,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q597600,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q7367,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q8690,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q247979,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q5203792,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q11639,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q765,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q15647884,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q850794,cultural exclusive,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q430,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q3290343,cultural exclusive,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q130857,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q2722359,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q386854,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q15964121,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q1350189,cultural agnostic,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q367660,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q31444654,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q1706696,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q9465,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q1371394,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q188907,cultural agnostic,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q46706,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q387284,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q24649,cultural representative,cultural agnostic,cultural agnostic,False,False
http://www.wikidata.org/entity/Q38066,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q658371,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q693,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q699,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q9764,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q62449,cultural representative,cultural agnostic,cultural agnostic,False,False
http://www.wikidata.org/entity/Q36192,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q1968,cultural agnostic,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q3102,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q84629,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q6534,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q764,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q169325,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q618710,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q3204,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q764233,cultural representative,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q3335,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q1255562,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q172964,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q14924,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q627325,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q45594,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q6663,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q655556,cultural representative,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q23565,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q51677,cultural representative,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q578269,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q65707,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q59243,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q132137,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q8538,cultural exclusive,cultural agnostic,cultural agnostic,False,False
http://www.wikidata.org/entity/Q22865,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q643996,cultural agnostic,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q58968,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q3298,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q580340,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q400,cultural exclusive,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q161439,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q10940,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q224644,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q1294605,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q84405,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q43416,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q80866,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q2890234,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q6418545,cultural exclusive,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q693461,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q489774,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q12494,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q284465,cultural representative,cultural agnostic,cultural agnostic,False,False
http://www.wikidata.org/entity/Q17563,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q3086695,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q493858,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q3257761,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q1133078,cultural agnostic,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q84,cultural representative,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q182357,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q48221,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q8274,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q131165,cultural agnostic,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q8362,cultural representative,cultural agnostic,cultural agnostic,False,False
http://www.wikidata.org/entity/Q3281,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q11417,cultural agnostic,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q98714302,cultural agnostic,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q162875,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q257153,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q76574,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q2321,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q203827,cultural representative,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q2185917,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q873,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q3333382,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q344299,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q5592,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q6836765,cultural exclusive,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q220011,cultural exclusive,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q835,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q1750272,cultural agnostic,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q674067,cultural agnostic,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q1628649,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q460039,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q687,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q429088,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q23402,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q2743,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q229724,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q616753,cultural representative,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q479102,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q56000,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q194285,cultural exclusive,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q25648,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q264238,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q265169,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q518390,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q1377546,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q216929,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q2425502,cultural exclusive,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q1344,cultural representative,cultural agnostic,cultural agnostic,False,False
http://www.wikidata.org/entity/Q1772945,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q470137,cultural representative,cultural agnostic,cultural agnostic,False,False
http://www.wikidata.org/entity/Q43091,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q27207,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q29536,cultural representative,cultural agnostic,cultural agnostic,False,False
http://www.wikidata.org/entity/Q182370,cultural agnostic,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q130898,cultural representative,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q7845,cultural representative,cultural agnostic,cultural agnostic,False,False
http://www.wikidata.org/entity/Q557,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q272,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q84809,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q23407,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q551835,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q486748,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q7194764,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q2095595,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q12024,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q127552,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q200751,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q756,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q3307548,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q19546,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q27114292,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q30461,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q38817,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q10892,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q12516,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q434,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q41800,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q4692,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q11707,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q66854,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q383845,cultural exclusive,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q66768,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q18702,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q54829,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q172582,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q1509703,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q11122366,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q25814,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q237338,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q145234,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q15761,cultural representative,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q1503157,cultural representative,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q7372,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q211367,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q2278256,cultural exclusive,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q231302,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q23589,cultural exclusive,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q340709,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q737377,cultural representative,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q139932,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q124619225,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q15783,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q1661080,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q17084639,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q7554349,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q178406,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q359293,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q884,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q236913,cultural representative,cultural agnostic,cultural agnostic,False,False
http://www.wikidata.org/entity/Q27185,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q6539,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q182361,cultural exclusive,cultural representative,cultural representative,False,False
http://www.wikidata.org/entity/Q465501,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q1140845,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q9603,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q1365,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q11254,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q2465121,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q7679703,cultural exclusive,cultural agnostic,cultural agnostic,False,False
http://www.wikidata.org/entity/Q1568338,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q7696211,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q674413,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q175122,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q595,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q270844,cultural representative,cultural agnostic,cultural agnostic,False,False
http://www.wikidata.org/entity/Q1074069,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q187120,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q3267562,cultural representative,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q685935,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q184781,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q235858,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q870,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q28543,cultural agnostic,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q479716,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q13178,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q194363,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q49024,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q8072,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q246,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q177764,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q375,cultural representative,cultural representative,cultural representative,True,True
http://www.wikidata.org/entity/Q59183,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q911871,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q1552567,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q36180,cultural agnostic,cultural agnostic,cultural agnostic,True,True
http://www.wikidata.org/entity/Q156316,cultural representative,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q56911,cultural exclusive,cultural exclusive,cultural exclusive,True,True
http://www.wikidata.org/entity/Q377,cultural representative,cultural exclusive,cultural exclusive,False,False
http://www.wikidata.org/entity/Q615394,cultural exclusive,cultural representative,cultural representative,False,False
